occasion_id,frame,subframe,slot,symbol,preamble_index,rb_start,rb_end,rb_count,subcarrier_start,subcarrier_end,time_index,frequency_label
0,0,0,0,0,0,7,12,6,84,155,0,7-12 RB
1,0,0,0,0,1,7,12,6,84,155,0,7-12 RB
2,0,0,0,0,2,7,12,6,84,155,0,7-12 RB
3,0,0,0,0,3,7,12,6,84,155,0,7-12 RB
4,0,0,0,0,4,7,12,6,84,155,0,7-12 RB
5,0,0,0,0,5,7,12,6,84,155,0,7-12 RB
6,0,0,0,0,6,7,12,6,84,155,0,7-12 RB
7,0,0,0,0,7,7,12,6,84,155,0,7-12 RB
8,0,0,0,0,8,7,12,6,84,155,0,7-12 RB
9,0,0,0,0,9,7,12,6,84,155,0,7-12 RB
10,0,0,0,0,10,7,12,6,84,155,0,7-12 RB
11,0,0,0,0,11,7,12,6,84,155,0,7-12 RB
12,0,0,0,0,12,7,12,6,84,155,0,7-12 RB
13,0,0,0,0,13,7,12,6,84,155,0,7-12 RB
14,0,0,0,0,14,7,12,6,84,155,0,7-12 RB
15,0,0,0,0,15,7,12,6,84,155,0,7-12 RB
16,0,0,0,0,16,7,12,6,84,155,0,7-12 RB
17,0,0,0,0,17,7,12,6,84,155,0,7-12 RB
18,0,0,0,0,18,7,12,6,84,155,0,7-12 RB
19,0,0,0,0,19,7,12,6,84,155,0,7-12 RB
20,0,0,0,0,20,7,12,6,84,155,0,7-12 RB
21,0,0,0,0,21,7,12,6,84,155,0,7-12 RB
22,0,0,0,0,22,7,12,6,84,155,0,7-12 RB
23,0,0,0,0,23,7,12,6,84,155,0,7-12 RB
24,0,0,0,0,24,7,12,6,84,155,0,7-12 RB
25,0,0,0,0,25,7,12,6,84,155,0,7-12 RB
26,0,0,0,0,26,7,12,6,84,155,0,7-12 RB
27,0,0,0,0,27,7,12,6,84,155,0,7-12 RB
28,0,0,0,0,28,7,12,6,84,155,0,7-12 RB
29,0,0,0,0,29,7,12,6,84,155,0,7-12 RB
30,0,0,0,0,30,7,12,6,84,155,0,7-12 RB
31,0,0,0,0,31,7,12,6,84,155,0,7-12 RB
32,0,0,0,0,32,7,12,6,84,155,0,7-12 RB
33,0,0,0,0,33,7,12,6,84,155,0,7-12 RB
34,0,0,0,0,34,7,12,6,84,155,0,7-12 RB
35,0,0,0,0,35,7,12,6,84,155,0,7-12 RB
36,0,0,0,0,36,7,12,6,84,155,0,7-12 RB
37,0,0,0,0,37,7,12,6,84,155,0,7-12 RB
38,0,0,0,0,38,7,12,6,84,155,0,7-12 RB
39,0,0,0,0,39,7,12,6,84,155,0,7-12 RB
40,0,0,0,0,40,7,12,6,84,155,0,7-12 RB
41,0,0,0,0,41,7,12,6,84,155,0,7-12 RB
42,0,0,0,0,42,7,12,6,84,155,0,7-12 RB
43,0,0,0,0,43,7,12,6,84,155,0,7-12 RB
44,0,0,0,0,44,7,12,6,84,155,0,7-12 RB
45,0,0,0,0,45,7,12,6,84,155,0,7-12 RB
46,0,0,0,0,46,7,12,6,84,155,0,7-12 RB
47,0,0,0,0,47,7,12,6,84,155,0,7-12 RB
48,0,0,0,0,48,7,12,6,84,155,0,7-12 RB
49,0,0,0,0,49,7,12,6,84,155,0,7-12 RB
50,0,0,0,0,50,7,12,6,84,155,0,7-12 RB
51,0,0,0,0,51,7,12,6,84,155,0,7-12 RB
52,0,0,0,0,52,7,12,6,84,155,0,7-12 RB
53,0,0,0,0,53,7,12,6,84,155,0,7-12 RB
54,0,0,0,0,54,7,12,6,84,155,0,7-12 RB
55,0,0,0,0,55,7,12,6,84,155,0,7-12 RB
56,0,0,0,0,56,7,12,6,84,155,0,7-12 RB
57,0,0,0,0,57,7,12,6,84,155,0,7-12 RB
58,0,0,0,0,58,7,12,6,84,155,0,7-12 RB
59,0,0,0,0,59,7,12,6,84,155,0,7-12 RB
60,0,0,0,0,60,7,12,6,84,155,0,7-12 RB
61,0,0,0,0,61,7,12,6,84,155,0,7-12 RB
62,0,0,0,0,62,7,12,6,84,155,0,7-12 RB
63,0,0,0,0,63,7,12,6,84,155,0,7-12 RB
64,1,1,0,0,0,7,12,6,84,155,140,7-12 RB
65,1,1,0,0,1,7,12,6,84,155,140,7-12 RB
66,1,1,0,0,2,7,12,6,84,155,140,7-12 RB
67,1,1,0,0,3,7,12,6,84,155,140,7-12 RB
68,1,1,0,0,4,7,12,6,84,155,140,7-12 RB
69,1,1,0,0,5,7,12,6,84,155,140,7-12 RB
70,1,1,0,0,6,7,12,6,84,155,140,7-12 RB
71,1,1,0,0,7,7,12,6,84,155,140,7-12 RB
72,1,1,0,0,8,7,12,6,84,155,140,7-12 RB
73,1,1,0,0,9,7,12,6,84,155,140,7-12 RB
